time NV31 NV44 XDUT_LP1_I XDUT_B1_I XDUT_L2_I XDUT_L3_I XDUT_B2_I XDUT_LP2_I
0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 
2.500000000000000e-013 2.771421282994204e-005 2.764456824166316e-005 1.532136731475003e-005 8.231510195097137e-006 -1.575606006768194e-005 1.575653993231806e-005 8.229687252629194e-006 1.531797425725483e-005 
5.000000000000000e-013 3.478117747988140e-005 3.460920377580916e-005 3.035818722501006e-005 2.743018691304005e-005 -3.151150677393996e-005 3.151369322606005e-005 2.741792330230915e-005 3.034528259259460e-005 
7.500000000000000e-013 5.950355461644897e-005 5.905864581297866e-005 4.482065494137019e-005 3.417771164388653e-005 -4.726489368079763e-005 4.727290631920238e-005 3.414195090448049e-005 4.478084752480265e-005 
1.000000000000000e-012 7.908096817617580e-005 7.819516548210968e-005 5.884732616771866e-005 3.977259354389382e-005 -6.301404115396323e-005 6.303635884603677e-005 3.969193287562735e-005 5.875295938989269e-005 
1.250000000000000e-012 8.900837112509307e-005 8.754041268056265e-005 7.276140367302759e-005 4.675185915575017e-005 -7.875596850430520e-005 7.880703149569480e-005 4.660254383526268e-005 7.257741742267144e-005 
1.500000000000000e-012 8.930783747449204e-005 8.722873270190040e-005 8.685116462146884e-005 5.704471856177056e-005 -9.448769173941176e-005 9.458790826058823e-005 5.680832514366442e-005 8.654379397961636e-005 
1.750000000000000e-012 8.344503282306536e-005 8.089802010143558e-005 1.012158615735481e-004 7.074812456650690e-005 -1.102075466734321e-004 1.103806533265679e-004 7.042000467028344e-005 1.007651388522255e-004 
2.000000000000000e-012 7.599675507596518e-005 7.329542713606139e-005 1.157467569357590e-004 8.657796086366622e-005 -1.259165642693585e-004 1.261842357306415e-004 8.617102123304241e-005 1.151571425393849e-004 
2.250000000000000e-012 7.062141927821511e-005 6.817155106952384e-005 1.302286681606642e-004 1.027983749127571e-004 -1.416191975475172e-004 1.419942024524827e-004 1.023386595975255e-004 1.295317708923680e-004 
