time NV31 NV44 XDUT_LP1_I XDUT_B1_I XDUT_L2_I XDUT_L3_I XDUT_B2_I XDUT_LP2_I
0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000 
2.500000000000000e-013 2.963740025945380e-005 2.956774140963384e-005 1.696596418337666e-005 9.033568365801306e-006 -1.750676050884126e-005 1.750723949115874e-005 9.031760311270777e-006 1.696256846989787e-005 
5.000000000000000e-013 3.692004943164381e-005 3.674806808605036e-005 3.359135780333345e-005 2.955533192674024e-005 -3.501291137585978e-005 3.501508862414022e-005 2.954326299184091e-005 3.357843294862412e-005 
7.500000000000000e-013 6.234787189811987e-005 6.190311022947780e-005 4.956401207559779e-005 3.517991722410506e-005 -5.251702455946449e-005 5.252497544053552e-005 3.514507635049989e-005 4.952408804807990e-005 
1.000000000000000e-012 8.103094223463521e-005 8.014604012359882e-005 6.514735162595432e-005 3.850903337727076e-005 -7.001697876089831e-005 7.003902123910169e-005 3.843136165962938e-005 6.505250680647118e-005 
1.250000000000000e-012 8.827845437561215e-005 8.681364252333976e-005 8.084252197485472e-005 4.329518403491206e-005 -8.750993227722335e-005 8.756006772277664e-005 4.315338144048111e-005 8.065700596736463e-005 
1.500000000000000e-012 8.512743071186995e-005 8.305653938698786e-005 9.703798545636053e-005 5.267354354778765e-005 -1.049931599351134e-004 1.050908400648866e-004 5.245264583118414e-005 9.672657736873828e-005 
1.750000000000000e-012 7.674266235643082e-005 7.421322466214088e-005 1.137611567641854e-004 6.702515794701111e-005 -1.224653837235660e-004 1.226326162764339e-004 6.672407006680587e-005 1.133013329590541e-004 
2.000000000000000e-012 6.907459822892287e-005 6.640545050514606e-005 1.306741471276339e-004 8.432002645815604e-005 -1.399280806370411e-004 1.401839193629589e-004 8.395355220759919e-005 1.300666240799734e-004 
2.250000000000000e-012 6.602979925887621e-005 6.363112381297588e-005 1.472951295935563e-004 1.016255105119520e-004 -1.573860280233865e-004 1.577399719766135e-004 1.012181010872748e-004 1.465670780524091e-004 
2.500000000000000e-012 6.831868229922311e-005 6.655552131321267e-005 1.632842054745548e-004 1.167783470819604e-004 -1.748464493635088e-004 1.752935506364912e-004 1.163519725406458e-004 1.624823537959241e-004 
2.750000000000000e-012 7.407803477944815e-005 7.313088642493149e-005 1.786166751117383e-004 1.292976916609940e-004 -1.923167260458769e-004 1.928372739541231e-004 1.288604910162314e-004 1.777923223698522e-004 
3.000000000000000e-012 8.050355531027492e-005 8.029044452576935e-005 1.935580988714383e-004 1.402095690067607e-004 -2.098014940554360e-004 2.103665059445639e-004 1.397519216907918e-004 1.927501578951268e-004 
3.250000000000000e-012 8.544360647064153e-005 8.564525400256434e-005 2.084830220240573e-004 1.511179254013967e-004 -2.273004910394323e-004 2.278815089605676e-004 1.506183366728296e-004 2.077063766584742e-004 
3.500000000000000e-012 8.820865387012700e-005 8.838956471749387e-005 2.236622722975084e-004 1.631980096281169e-004 -2.448082986977407e-004 2.453877013022592e-004 1.626358574242867e-004 2.229063061973972e-004 
3.750000000000000e-012 8.944870650946068e-005 8.921938344791380e-005 2.391402284195755e-004 1.766636768163092e-004 -2.623162095137231e-004 2.628937904862770e-004 1.760325329781475e-004 2.383775932921488e-004 
4.000000000000000e-012 9.045003970877945e-005 8.959771641299378e-005 2.547506506819975e-004 1.908614104690272e-004 -2.798154022183634e-004 2.804085977816366e-004 1.901763485110907e-004 2.539516418386763e-004 
4.250000000000000e-012 9.237225325334667e-005 9.090795160105341e-005 2.702341278362158e-004 2.047754165338545e-004 -2.973000229893712e-004 2.979379770106288e-004 2.040704751365430e-004 2.693798468496084e-004 
